address,neighborhood,privacy,view_quality,view_source,topography,elevation_ft,slope_pct,dist_to_ocean,photos
"1588 Chastain Pkwy, Pacific Palisades, CA 90272",Highlands,high,canyon,geo_heuristic,gentle,1437.0,14.0,2.55,"maps_satellite.png, maps_streetview.png"
"15215 Friends St, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,steep,226.4,30.0,0.43,"maps_satellite.png, maps_streetview.png"
"955 Enchanted Way, Pacific Palisades, CA 90272",Upper Palisades,medium,ocean,geo_heuristic,moderate,561.0,18.0,1.14,"maps_satellite.png, maps_streetview.png"
"737 Enchanted Way, Pacific Palisades, CA 90272",Riviera,medium,ocean,geo_heuristic,moderate,462.6,18.0,0.87,"maps_satellite.png, maps_streetview.png"
"1073 Glenhaven Dr, Pacific Palisades, CA 90272",Upper Palisades,medium,ocean,geo_heuristic,moderate,616.8,16.0,1.25,"maps_satellite.png, maps_streetview.png"
"1260 Lachman Ln, Pacific Palisades, CA 90272",Upper Palisades,medium,ocean,geo_heuristic,moderate,800.5,20.0,1.55,"maps_satellite.png, maps_streetview.png"
"16815 Livorno Dr, Pacific Palisades, CA 90272",Riviera,medium,ocean,geo_heuristic,flat,275.6,6.0,0.65,"maps_satellite.png, maps_streetview.png"
"14800 Mc Kendree Ave, Pacific Palisades, CA 90272",Marquez Knolls,medium,ocean,geo_heuristic,gentle,469.2,14.0,1.69,"maps_satellite.png, maps_streetview.png"
"630 Bienveneda Ave, Pacific Palisades, CA 90272",Riviera,medium,ocean,geo_heuristic,gentle,285.4,12.0,0.94,"maps_satellite.png, maps_streetview.png"
"1626 Chastain Pkwy, Pacific Palisades, CA 90272",Highlands,high,canyon,geo_heuristic,moderate,1479.7,20.0,2.54,"maps_satellite.png, maps_streetview.png"
"16524 Chattanooga Pl, Pacific Palisades, CA 90272",Riviera,high,ocean,geo_heuristic,gentle,351.0,14.0,1.03,"maps_satellite.png, maps_streetview.png"
"1214 Rimmer Ave, Pacific Palisades, CA 90272",Upper Palisades,medium,ocean,geo_heuristic,moderate,449.5,16.0,1.56,"maps_satellite.png, maps_streetview.png"
"14410 Villa Woods Pl, Pacific Palisades, CA 90272",Marquez Knolls,high,canyon,photo_verified,flat,410.1,4.0,1.78,"maps_satellite.png, maps_streetview.png"
"865 Oreo Pl, Pacific Palisades, CA 90272",Riviera,high,ocean,geo_heuristic,moderate,364.2,20.0,1.16,"maps_satellite.png, maps_streetview.png"
"700 Chapala Dr, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,flat,305.1,2.0,0.88,"maps_satellite.png, maps_streetview.png"
"1078 Villa Grove Dr, Pacific Palisades, CA 90272",Village,medium,canyon,photo_verified,moderate,377.3,16.0,1.68,"maps_satellite.png, maps_streetview.png"
"1412 Marinette Rd, Pacific Palisades, CA 90272",Marquez Knolls,medium,canyon,geo_heuristic,gentle,564.3,14.0,1.95,"maps_satellite.png, maps_streetview.png"
"622 Alma Real Dr, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,flat,301.8,6.0,0.77,"maps_satellite.png, maps_streetview.png"
"312 Bellino Dr, Pacific Palisades, CA 90272",Castellammare,medium,ocean,geo_heuristic,moderate,370.7,18.0,0.38,"maps_satellite.png, maps_streetview.png"
"1303 Marinette Rd, Pacific Palisades, CA 90272",Marquez Knolls,medium,canyon,photo_verified,moderate,426.5,24.0,1.78,"maps_satellite.png, maps_streetview.png"
"746 Alma Real Dr, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,gentle,301.8,8.0,0.97,"maps_satellite.png, maps_streetview.png"
"17053 Livorno Dr, Pacific Palisades, CA 90272",Riviera,medium,ocean,geo_heuristic,flat,249.3,6.0,0.42,"maps_satellite.png, maps_streetview.png"
"17624 Tramonto Dr, Pacific Palisades, CA 90272",Castellammare,medium,ocean,geo_heuristic,steep,288.7,44.0,0.22,"maps_satellite.png, maps_streetview.png"
"959 Chattanooga Ave, Pacific Palisades, CA 90272",Upper Palisades,medium,ocean,geo_heuristic,gentle,469.2,14.0,1.17,"maps_satellite.png, maps_streetview.png"
"701 Via De La Paz, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,gentle,321.5,14.0,0.99,"maps_satellite.png, maps_streetview.png"
"1026 Enchanted Way, Pacific Palisades, CA 90272",Upper Palisades,medium,ocean,geo_heuristic,steep,662.7,32.0,1.26,"maps_satellite.png, maps_streetview.png"
"1144 Chautauqua Blvd, Pacific Palisades, CA 90272",Village,low,ocean,geo_heuristic,steep,439.6,26.0,1.65,"maps_satellite.png, maps_streetview.png"
"844 Toyopa Dr, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,flat,318.2,2.0,1.09,"maps_satellite.png, maps_streetview.png"
"850 Jacon Way, Pacific Palisades, CA 90272",Upper Palisades,high,ocean,geo_heuristic,moderate,482.3,22.0,1.12,"maps_satellite.png, maps_streetview.png"
"17941 Tramonto Dr, Pacific Palisades, CA 90272",Castellammare,medium,ocean,geo_heuristic,gentle,206.7,12.0,0.13,"maps_satellite.png, maps_streetview.png"
"1001 Rivas Canyon Rd, Pacific Palisades, CA 90272",Village,high,ocean,geo_heuristic,steep,301.8,34.0,1.52,"maps_satellite.png, maps_streetview.png"
"1018 Maroney Ln, Pacific Palisades, CA 90272",Riviera,high,ocean,geo_heuristic,moderate,377.3,18.0,1.31,"maps_satellite.png, maps_streetview.png"
"771 Ocampo Dr, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,flat,308.4,4.0,0.98,"maps_satellite.png, maps_streetview.png"
"15312 Mc Kendree Ave, Pacific Palisades, CA 90272",Upper Palisades,medium,ocean,geo_heuristic,moderate,498.7,20.0,1.63,"maps_satellite.png, maps_streetview.png"
"1180 Fiske St, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,flat,416.7,6.0,1.62,"maps_satellite.png, maps_streetview.png"
"16943 Dulce Ynez Ln, Pacific Palisades, CA 90272",Riviera,high,ocean,geo_heuristic,gentle,351.0,10.0,0.7,"maps_satellite.png, maps_streetview.png"
"1475 Via Cresta, Pacific Palisades, CA 90272",Upper Palisades,medium,ocean,geo_heuristic,moderate,659.4,22.0,1.63,"maps_satellite.png, maps_streetview.png"
"1031 Hartzell St, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,flat,383.9,4.0,1.43,"maps_satellite.png, maps_streetview.png"
"1433 El Bosque Ct, Pacific Palisades, CA 90272",Highlands,high,canyon,geo_heuristic,moderate,1046.6,18.0,2.32,"maps_satellite.png, maps_streetview.png"
"515 Muskingum Ave, Pacific Palisades, CA 90272",Riviera,medium,ocean,geo_heuristic,steep,269.0,30.0,0.76,"maps_satellite.png, maps_streetview.png"
"15208 Whitfield Ave, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,moderate,426.5,20.0,1.61,"maps_satellite.png, maps_streetview.png"
"919 Rivas Canyon Rd, Pacific Palisades, CA 90272",Village,high,ocean,geo_heuristic,moderate,262.5,24.0,1.42,"maps_satellite.png, maps_streetview.png"
"871 Oreo Pl, Pacific Palisades, CA 90272",Riviera,high,ocean,geo_heuristic,moderate,364.2,20.0,1.17,"maps_satellite.png, maps_streetview.png"
"16918 Marquez Ave, Pacific Palisades, CA 90272",Riviera,medium,ocean,geo_heuristic,flat,278.9,6.0,0.58,"maps_satellite.png, maps_streetview.png"
"16539 Chattanooga Pl, Pacific Palisades, CA 90272",Riviera,high,ocean,geo_heuristic,gentle,367.5,10.0,1.04,"maps_satellite.png, maps_streetview.png"
"1355 Berea Pl, Pacific Palisades, CA 90272",Marquez Knolls,high,ocean,geo_heuristic,steep,580.7,28.0,1.79,"maps_satellite.png, maps_streetview.png"
"1022 Maroney Ln, Pacific Palisades, CA 90272",Riviera,high,ocean,geo_heuristic,gentle,383.9,14.0,1.32,"maps_satellite.png, maps_streetview.png"
"16625 Marquez Ter, Pacific Palisades, CA 90272",Riviera,medium,ocean,geo_heuristic,moderate,351.0,16.0,0.93,"maps_satellite.png, maps_streetview.png"
"1256 Monument St, Pacific Palisades, CA 90272",Marquez Knolls,medium,ocean,geo_heuristic,gentle,465.9,12.0,1.69,"maps_satellite.png, maps_streetview.png"
"14800 Pampas Ricas Blvd, Pacific Palisades, CA 90272",Village,low,ocean,geo_heuristic,flat,311.7,6.0,0.96,"maps_satellite.png, maps_streetview.png"
"1109 Maroney Ln, Pacific Palisades, CA 90272",Upper Palisades,high,ocean,geo_heuristic,moderate,410.1,18.0,1.38,"maps_satellite.png, maps_streetview.png"
"319 Via De La Paz, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,flat,292.0,6.0,0.65,"maps_satellite.png, maps_streetview.png"
"15422 Albright St, Pacific Palisades, CA 90272",Upper Palisades,medium,ocean,geo_heuristic,flat,370.7,6.0,1.39,"maps_satellite.png, maps_streetview.png"
"15306 Mc Kendree Ave, Pacific Palisades, CA 90272",Marquez Knolls,medium,ocean,geo_heuristic,moderate,495.4,22.0,1.64,"maps_satellite.png, maps_streetview.png"
"650 Resolano Dr, Pacific Palisades, CA 90272",Castellammare,medium,ocean,geo_heuristic,steep,518.4,26.0,0.64,"maps_satellite.png, maps_streetview.png"
"1402 El Bosque Ct, Pacific Palisades, CA 90272",Highlands,high,canyon,geo_heuristic,moderate,1040.0,20.0,2.27,"maps_satellite.png, maps_streetview.png"
"1545 Umeo Rd, Pacific Palisades, CA 90272",Marquez Knolls,high,canyon,geo_heuristic,steep,570.9,40.0,2.52,"maps_satellite.png, maps_streetview.png"
"909 Rivas Canyon Rd, Pacific Palisades, CA 90272",Village,high,ocean,geo_heuristic,moderate,255.9,20.0,1.41,"maps_satellite.png, maps_streetview.png"
"1055 Las Pulgas, Pacific Palisades, CA 90272",Riviera,medium,ocean,geo_heuristic,moderate,380.6,20.0,1.27,"maps_satellite.png, maps_streetview.png"
"1227 Bienveneda Ave, Pacific Palisades, CA 90272",Upper Palisades,medium,ocean,geo_heuristic,steep,518.4,38.0,1.54,"maps_satellite.png, maps_streetview.png"
"318 Bellino Dr, Pacific Palisades, CA 90272",Castellammare,medium,ocean,geo_heuristic,moderate,370.7,18.0,0.38,"maps_satellite.png, maps_streetview.png"
"17053 Bollinger Dr, Pacific Palisades, CA 90272",Riviera,medium,ocean,geo_heuristic,moderate,259.2,20.0,0.49,"maps_satellite.png, maps_streetview.png"
"429 Puerto Del Mar, Pacific Palisades, CA 90272",Riviera,high,ocean,geo_heuristic,steep,255.9,54.0,0.63,"maps_satellite.png, maps_streetview.png"
"611 Erskine Dr, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,flat,305.1,6.0,0.88,"maps_satellite.png, maps_streetview.png"
"1120 Cumbre Alta Ct, Pacific Palisades, CA 90272",Highlands,high,canyon,geo_heuristic,moderate,1043.3,18.0,1.91,"maps_satellite.png, maps_streetview.png"
"16788 Charmel Ln, Pacific Palisades, CA 90272",Upper Palisades,high,ocean,geo_heuristic,steep,984.3,42.0,1.48,"maps_satellite.png, maps_streetview.png"
"1433 Via Anita, Pacific Palisades, CA 90272",Upper Palisades,medium,ocean,geo_heuristic,steep,692.3,28.0,1.7,"maps_satellite.png, maps_streetview.png"
"730 Toyopa Dr, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,flat,311.7,2.0,0.99,"maps_satellite.png, maps_streetview.png"
"711 Chapala Dr, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,flat,305.1,4.0,0.87,"maps_satellite.png, maps_streetview.png"
"16550 Akron St, Pacific Palisades, CA 90272",Riviera,medium,ocean,geo_heuristic,gentle,393.7,10.0,1.07,"maps_satellite.png, maps_streetview.png"
"16906 Scenic Pl, Pacific Palisades, CA 90272",Upper Palisades,high,ocean,geo_heuristic,gentle,544.6,12.0,1.06,"maps_satellite.png, maps_streetview.png"
"14607 Bestor Blvd, Pacific Palisades, CA 90272",Village,low,ocean,geo_heuristic,gentle,469.2,8.0,1.68,"maps_satellite.png, maps_streetview.png"
"17128 Avenida De La Herradura, Pacific Palisades, CA 90272",Highlands,high,canyon,geo_heuristic,gentle,971.1,14.0,2.34,"maps_satellite.png, maps_streetview.png"
"424 Lombard Ave, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,flat,282.2,6.0,0.62,"maps_satellite.png, maps_streetview.png"
"17706 Camino De Yatasto, Pacific Palisades, CA 90272",Highlands,high,canyon,geo_heuristic,gentle,780.8,14.0,2.41,"maps_satellite.png, maps_streetview.png"
"224 Quadro Vecchio Dr, Pacific Palisades, CA 90272",Castellammare,high,ocean,geo_heuristic,gentle,331.4,14.0,0.25,"maps_satellite.png, maps_streetview.png"
"16821 Via La Costa, Pacific Palisades, CA 90272",Highlands,high,canyon,geo_heuristic,steep,1535.4,44.0,2.73,"maps_satellite.png, maps_streetview.png"
"773 Swarthmore Ave, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,flat,328.1,2.0,1.15,"maps_satellite.png, maps_streetview.png"
"560 Radcliffe Ave, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,moderate,265.7,16.0,0.75,"maps_satellite.png, maps_streetview.png"
"664 Las Lomas Ave, Pacific Palisades, CA 90272",Riviera,medium,ocean,geo_heuristic,flat,318.2,4.0,1.03,"maps_satellite.png, maps_streetview.png"
"1228 Las Lomas Pl, Pacific Palisades, CA 90272",Upper Palisades,high,ocean,geo_heuristic,moderate,518.4,20.0,1.6,"maps_satellite.png, maps_streetview.png"
"15330 Albright St, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,flat,347.8,6.0,1.4,"maps_satellite.png, maps_streetview.png"
"17810 Castellammare Dr, Pacific Palisades, CA 90272",Castellammare,medium,ocean,geo_heuristic,steep,134.5,38.0,0.17,"maps_satellite.png, maps_streetview.png"
"931 Embury St, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,flat,337.9,6.0,1.26,"maps_satellite.png, maps_streetview.png"
"719 Jacon Way, Pacific Palisades, CA 90272",Riviera,high,ocean,geo_heuristic,moderate,416.7,22.0,0.96,"maps_satellite.png, maps_streetview.png"
"16613 Pequeno Pl, Pacific Palisades, CA 90272",Upper Palisades,high,ocean,geo_heuristic,steep,531.5,50.0,1.38,"maps_satellite.png, maps_streetview.png"
"16616 Merrivale Ln, Pacific Palisades, CA 90272",Upper Palisades,medium,ocean,geo_heuristic,moderate,534.8,16.0,1.24,"maps_satellite.png, maps_streetview.png"
"941 Bienveneda Ave, Pacific Palisades, CA 90272",Riviera,medium,ocean,geo_heuristic,gentle,341.2,10.0,1.21,"maps_satellite.png, maps_streetview.png"
"1052 Tellem Dr, Pacific Palisades, CA 90272",Upper Palisades,medium,ocean,geo_heuristic,moderate,551.2,24.0,1.32,"maps_satellite.png, maps_streetview.png"
"1297 Marinette Rd, Pacific Palisades, CA 90272",Marquez Knolls,medium,ocean,geo_heuristic,moderate,406.8,22.0,1.77,"maps_satellite.png, maps_streetview.png"
"616 Via De La Paz, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,flat,328.1,6.0,0.9,"maps_satellite.png, maps_streetview.png"
"16767 Bollinger Dr, Pacific Palisades, CA 90272",Riviera,medium,ocean,geo_heuristic,gentle,298.6,10.0,0.73,"maps_satellite.png, maps_streetview.png"
"16320 Akron St, Pacific Palisades, CA 90272",Riviera,medium,ocean,geo_heuristic,gentle,315.0,10.0,1.09,"maps_satellite.png, maps_streetview.png"
"921 Kagawa St, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,flat,367.5,6.0,1.35,"maps_satellite.png, maps_streetview.png"
"419 Lombard Ave, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,flat,288.7,2.0,0.64,"maps_satellite.png, maps_streetview.png"
"860 Jacon Way, Pacific Palisades, CA 90272",Upper Palisades,high,ocean,geo_heuristic,moderate,495.4,24.0,1.13,"maps_satellite.png, maps_streetview.png"
"1314 Goucher St, Pacific Palisades, CA 90272",Marquez Knolls,medium,ocean,geo_heuristic,steep,528.2,32.0,1.74,"maps_satellite.png, maps_streetview.png"
"840 Lachman Ln, Pacific Palisades, CA 90272",Riviera,medium,ocean,geo_heuristic,moderate,465.9,20.0,1.05,"maps_satellite.png, maps_streetview.png"
"13741 Romany Dr, Pacific Palisades, CA 90272",Marquez Knolls,high,canyon,geo_heuristic,moderate,419.9,24.0,2.09,"maps_satellite.png, maps_streetview.png"
"1423 Chautauqua Blvd, Pacific Palisades, CA 90272",Marquez Knolls,low,canyon,geo_heuristic,gentle,607.0,14.0,1.86,"maps_satellite.png, maps_streetview.png"
"1225 Rimmer Ave, Pacific Palisades, CA 90272",Upper Palisades,medium,ocean,geo_heuristic,steep,446.2,38.0,1.57,"maps_satellite.png, maps_streetview.png"
"15221 Via De Las Olas, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,moderate,242.8,24.0,0.45,"maps_satellite.png, maps_streetview.png"
"437 Puerto Del Mar, Pacific Palisades, CA 90272",Riviera,high,ocean,geo_heuristic,steep,249.3,40.0,0.65,"maps_satellite.png, maps_streetview.png"
"1218 Monument St, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,gentle,433.1,14.0,1.63,"maps_satellite.png, maps_streetview.png"
"820 Jacon Way, Pacific Palisades, CA 90272",Riviera,high,ocean,geo_heuristic,moderate,456.0,22.0,1.09,"maps_satellite.png, maps_streetview.png"
"16645 Akron St, Pacific Palisades, CA 90272",Riviera,medium,ocean,geo_heuristic,moderate,433.1,20.0,1.02,"maps_satellite.png, maps_streetview.png"
"1865 Michael Ln, Pacific Palisades, CA 90272",Highlands,high,canyon,geo_heuristic,gentle,994.1,10.0,2.43,"maps_satellite.png, maps_streetview.png"
"620 Palmera Ave, Pacific Palisades, CA 90272",Riviera,medium,ocean,geo_heuristic,gentle,282.2,10.0,0.94,"maps_satellite.png, maps_streetview.png"
"651 Erskine Dr, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,moderate,311.7,22.0,0.93,"maps_satellite.png, maps_streetview.png"
"16556 Chattanooga Pl, Pacific Palisades, CA 90272",Riviera,high,ocean,geo_heuristic,gentle,354.3,14.0,0.99,"maps_satellite.png, maps_streetview.png"
"15329 De Pauw St, Pacific Palisades, CA 90272",Village,medium,ocean,geo_heuristic,gentle,321.5,10.0,0.83,"maps_satellite.png, maps_streetview.png"
"16021 Anoka Dr, Pacific Palisades, CA 90272",Upper Palisades,medium,ocean,geo_heuristic,moderate,528.2,18.0,1.55,"maps_satellite.png, maps_streetview.png"
"816 El Oro Ln, Pacific Palisades, CA 90272",Riviera,medium,ocean,geo_heuristic,moderate,485.6,18.0,1.03,"maps_satellite.png, maps_streetview.png"
