address,prev_home_sqft,source,after_build_sqft
"1303 Marinette Rd, Pacific Palisades, CA 90272",3198.0,parcelquest,3518.0
"746 Alma Real Dr, Pacific Palisades, CA 90272",5817.0,parcelquest,6399.0
"17053 Livorno Dr, Pacific Palisades, CA 90272",2858.0,parcelquest,3144.0
"17624 Tramonto Dr, Pacific Palisades, CA 90272",2067.0,parcelquest,2274.0
"959 Chattanooga Ave, Pacific Palisades, CA 90272",1990.0,parcelquest,2189.0
"701 Via De La Paz, Pacific Palisades, CA 90272",6622.0,parcelquest,7284.0
"1026 Enchanted Way, Pacific Palisades, CA 90272",3213.0,parcelquest,3534.0
"1144 Chautauqua Blvd, Pacific Palisades, CA 90272",4351.0,parcelquest,4786.0
"844 Toyopa Dr, Pacific Palisades, CA 90272",2185.0,parcelquest,2404.0
"850 Jacon Way, Pacific Palisades, CA 90272",2359.0,parcelquest,2595.0
"17941 Tramonto Dr, Pacific Palisades, CA 90272",1573.0,parcelquest,1730.0
"1001 Rivas Canyon Rd, Pacific Palisades, CA 90272",6335.0,parcelquest,6969.0
"1018 Maroney Ln, Pacific Palisades, CA 90272",2891.0,parcelquest,3180.0
"771 Ocampo Dr, Pacific Palisades, CA 90272",2988.0,parcelquest,3287.0
"15312 Mc Kendree Ave, Pacific Palisades, CA 90272",2269.0,parcelquest,2496.0
"1180 Fiske St, Pacific Palisades, CA 90272",4365.0,parcelquest,4802.0
"16943 Dulce Ynez Ln, Pacific Palisades, CA 90272",5009.0,parcelquest,5510.0
"1475 Via Cresta, Pacific Palisades, CA 90272",8043.0,parcelquest,8847.0
"1031 Hartzell St, Pacific Palisades, CA 90272",2694.0,parcelquest,2963.0
"1433 El Bosque Ct, Pacific Palisades, CA 90272",3672.0,parcelquest,4039.0
"515 Muskingum Ave, Pacific Palisades, CA 90272",5237.0,parcelquest,5761.0
"15208 Whitfield Ave, Pacific Palisades, CA 90272",1618.0,parcelquest,1780.0
"919 Rivas Canyon Rd, Pacific Palisades, CA 90272",2345.0,parcelquest,2580.0
"871 Oreo Pl, Pacific Palisades, CA 90272",2100.0,parcelquest,2310.0
"16918 Marquez Ave, Pacific Palisades, CA 90272",2310.0,parcelquest,2541.0
"16539 Chattanooga Pl, Pacific Palisades, CA 90272",1564.0,parcelquest,1720.0
"1355 Berea Pl, Pacific Palisades, CA 90272",6785.0,parcelquest,7464.0
"1022 Maroney Ln, Pacific Palisades, CA 90272",2250.0,parcelquest,2475.0
"16625 Marquez Ter, Pacific Palisades, CA 90272",2247.0,parcelquest,2472.0
"1256 Monument St, Pacific Palisades, CA 90272",4216.0,parcelquest,4638.0
"14800 Pampas Ricas Blvd, Pacific Palisades, CA 90272",3393.0,parcelquest,3732.0
"1109 Maroney Ln, Pacific Palisades, CA 90272",4075.0,parcelquest,4482.0
"319 Via De La Paz, Pacific Palisades, CA 90272",3407.0,parcelquest,3748.0
"15422 Albright St, Pacific Palisades, CA 90272",5328.0,parcelquest,5861.0
"15306 Mc Kendree Ave, Pacific Palisades, CA 90272",1235.0,parcelquest,1358.0
"650 Resolano Dr, Pacific Palisades, CA 90272",2592.0,parcelquest,2851.0
"1402 El Bosque Ct, Pacific Palisades, CA 90272",4529.0,parcelquest,4982.0
"1545 Umeo Rd, Pacific Palisades, CA 90272",2471.0,parcelquest,2718.0
"909 Rivas Canyon Rd, Pacific Palisades, CA 90272",3254.0,parcelquest,3579.0
"1055 Las Pulgas, Pacific Palisades, CA 90272",2647.0,parcelquest,2912.0
"1227 Bienveneda Ave, Pacific Palisades, CA 90272",1967.0,parcelquest,2164.0
"318 Bellino Dr, Pacific Palisades, CA 90272",4200.0,parcelquest,4620.0
"17053 Bollinger Dr, Pacific Palisades, CA 90272",4603.0,parcelquest,5063.0
"429 Puerto Del Mar, Pacific Palisades, CA 90272",1674.0,parcelquest,1841.0
"611 Erskine Dr, Pacific Palisades, CA 90272",1395.0,parcelquest,1535.0
"1120 Cumbre Alta Ct, Pacific Palisades, CA 90272",6463.0,parcelquest,7109.0
"16788 Charmel Ln, Pacific Palisades, CA 90272",3046.0,parcelquest,3351.0
"1433 Via Anita, Pacific Palisades, CA 90272",6668.0,parcelquest,7335.0
"730 Toyopa Dr, Pacific Palisades, CA 90272",7843.0,parcelquest,8627.0
"711 Chapala Dr, Pacific Palisades, CA 90272",3383.0,parcelquest,3721.0
"16550 Akron St, Pacific Palisades, CA 90272",4085.0,parcelquest,4494.0
"16906 Scenic Pl, Pacific Palisades, CA 90272",2645.0,parcelquest,2910.0
"14607 Bestor Blvd, Pacific Palisades, CA 90272",5636.0,parcelquest,6200.0
"17128 Avenida De La Herradura, Pacific Palisades, CA 90272",2333.0,parcelquest,2566.0
"424 Lombard Ave, Pacific Palisades, CA 90272",2085.0,parcelquest,2294.0
"17706 Camino De Yatasto, Pacific Palisades, CA 90272",3920.0,parcelquest,4312.0
"224 Quadro Vecchio Dr, Pacific Palisades, CA 90272",2206.0,parcelquest,2427.0
"16821 Via La Costa, Pacific Palisades, CA 90272",5157.0,parcelquest,5673.0
"773 Swarthmore Ave, Pacific Palisades, CA 90272",3598.0,parcelquest,3958.0
"560 Radcliffe Ave, Pacific Palisades, CA 90272",3532.0,parcelquest,3885.0
"664 Las Lomas Ave, Pacific Palisades, CA 90272",1397.0,parcelquest,1537.0
"1228 Las Lomas Pl, Pacific Palisades, CA 90272",2956.0,parcelquest,3252.0
"15330 Albright St, Pacific Palisades, CA 90272",1816.0,parcelquest,1998.0
"17810 Castellammare Dr, Pacific Palisades, CA 90272",2072.0,parcelquest,2279.0
"931 Embury St, Pacific Palisades, CA 90272",1144.0,parcelquest,1258.0
"719 Jacon Way, Pacific Palisades, CA 90272",2071.0,parcelquest,2278.0
"16613 Pequeno Pl, Pacific Palisades, CA 90272",1950.0,parcelquest,2145.0
"16616 Merrivale Ln, Pacific Palisades, CA 90272",2189.0,parcelquest,2408.0
"941 Bienveneda Ave, Pacific Palisades, CA 90272",1683.0,parcelquest,1851.0
"1052 Tellem Dr, Pacific Palisades, CA 90272",2641.0,parcelquest,2905.0
"1297 Marinette Rd, Pacific Palisades, CA 90272",4693.0,parcelquest,5162.0
"616 Via De La Paz, Pacific Palisades, CA 90272",3179.0,parcelquest,3497.0
"16767 Bollinger Dr, Pacific Palisades, CA 90272",3339.0,parcelquest,3673.0
"16320 Akron St, Pacific Palisades, CA 90272",1672.0,parcelquest,1839.0
"921 Kagawa St, Pacific Palisades, CA 90272",2688.0,parcelquest,2957.0
"419 Lombard Ave, Pacific Palisades, CA 90272",3026.0,parcelquest,3329.0
"860 Jacon Way, Pacific Palisades, CA 90272",1864.0,parcelquest,2050.0
"1314 Goucher St, Pacific Palisades, CA 90272",5817.0,parcelquest,6399.0
"840 Lachman Ln, Pacific Palisades, CA 90272",1880.0,parcelquest,2068.0
"13741 Romany Dr, Pacific Palisades, CA 90272",2794.0,parcelquest,3073.0
"1423 Chautauqua Blvd, Pacific Palisades, CA 90272",1505.0,parcelquest,1656.0
"1225 Rimmer Ave, Pacific Palisades, CA 90272",4400.0,parcelquest,4840.0
"15221 Via De Las Olas, Pacific Palisades, CA 90272",3387.0,parcelquest,3726.0
"437 Puerto Del Mar, Pacific Palisades, CA 90272",3291.0,parcelquest,3620.0
"1218 Monument St, Pacific Palisades, CA 90272",1207.0,parcelquest,1328.0
"820 Jacon Way, Pacific Palisades, CA 90272",2034.0,parcelquest,2237.0
"16645 Akron St, Pacific Palisades, CA 90272",3709.0,parcelquest,4080.0
"1865 Michael Ln, Pacific Palisades, CA 90272",3286.0,parcelquest,3615.0
"620 Palmera Ave, Pacific Palisades, CA 90272",3619.0,parcelquest,3981.0
"651 Erskine Dr, Pacific Palisades, CA 90272",3049.0,parcelquest,3354.0
"16556 Chattanooga Pl, Pacific Palisades, CA 90272",1505.0,parcelquest,1656.0
"15329 De Pauw St, Pacific Palisades, CA 90272",5423.0,parcelquest,5965.0
"16021 Anoka Dr, Pacific Palisades, CA 90272",2228.0,parcelquest,2451.0
"816 El Oro Ln, Pacific Palisades, CA 90272",2200.0,parcelquest,2420.0
